E + H2, Elastic,,,,,,,,,,,
Energies[eV],10.3,15.3,20.3,25.3,30.3,40.3,50.3,60.3,75.3,80.3,90.3,100.3
Angle[deg],DifferentialCrossSection[Ang^2],,,,,,,,,,,
20,8.09,10.1,8.43,8.26,8.01,7.45,4.81,4.51,2.7,3.2,2.53,1.94
25,6.36,9.46,7.48,6.71,6.02,5.72,3.18,3.07,1.72,1.72,1.46,1.12
30,4.89,7.17,6.12,5.42,4.11,3.73,2.27,1.98,1.05,1.05,0.77,0.61
35,3.92,5.53,4.64,4.19,3.3,2.63,1.43,1.13,0.6,0.68,0.43,0.36
40,2.91,4.27,3.45,2.91,2.27,1.81,0.9,0.75,0.3,0.33,0.23,0.22
45,2.41,2.97,2.32,2.04,1.58,1.15,0.54,0.36,0.18,0.18,0.13,0.12
50,1.69,1.79,1.51,1.22,1.04,0.61,0.3,0.17,0.085,0.094,0.079,0.075
55,1.33,1.05,0.9,0.73,0.52,0.34,0.13,0.075,0.041,0.045,0.052,0.061
60,1.06,0.58,0.48,0.33,0.19,0.14,0.04,0.029,0.027,0.034,0.053,0.06
65,0.93,0.4,0.2,0.12,0.075,0.03,0.009,0.014,0.038,0.04,0.067,0.07
70,0.88,0.3,0.073,0.034,0.016,0.015,0.026,0.037,0.057,0.059,0.092,0.082
75,0.89,0.33,0.063,0.043,0.069,0.059,0.084,0.082,0.087,0.089,0.12,0.099
80,0.87,0.43,0.15,0.11,0.14,0.14,0.15,0.13,0.12,0.12,0.14,0.12
85,0.86,0.55,0.26,0.21,0.25,0.23,0.23,0.28,0.16,0.15,0.15,0.13
90,0.78,0.6,0.37,0.32,0.34,0.3,0.29,0.24,0.18,0.17,0.16,0.12
95,0.62,0.61,0.44,0.42,0.41,0.36,0.33,0.26,0.19,0.18,0.16,0.11
100,0.44,0.57,0.48,0.48,0.47,0.4,0.33,0.27,0.2,0.17,0.13,0.094
105,0.27,0.49,0.46,0.5,0.44,0.4,0.32,0.25,0.15,0.15,0.089,0.069
110,0.12,0.39,0.43,0.46,0.42,0.37,0.28,0.2,0.11,0.12,0.06,0.044
115,0.058,0.35,0.37,0.4,0.36,0.32,0.22,0.15,0.078,0.068,0.033,0.027
120,0.11,0.33,0.31,0.34,0.27,0.25,0.16,0.1,0.042,0.045,0.014,0.009
125,0.3,0.45,0.24,0.24,0.2,0.17,0.11,0.065,0.026,0.025,0.016,0.01
130,0.56,0.62,0.21,0.17,0.13,0.1,0.068,0.05,0.025,0.022,0.044,0.04
135,1.02,0.91,0.22,0.12,0.063,0.059,0.045,0.046,0.046,0.046,0.1,0.082
140,1.54,1.27,0.28,0.11,0.036,0.026,0.044,0.078,0.09,0.091,0.16,0.15
145,2.32,1.69,0.37,0.11,0.04,0.018,0.076,0.13,0.16,0.18,0.22,0.25
150,2.7,2,0.45,0.16,0.059,0.041,0.14,0.23,0.2,0.24,0.25,0.32
