g,Level (eV)
4,0.00000000
2,0.17749368
2,13.47975260
8,16.40650186
6,16.42557623
4,16.44411446
2,16.45737782
6,16.64385439
4,16.74852891
2,16.81247225
4,17.14002744
2,17.26583352
10,17.62885633
8,17.69466481
6,17.74309101
4,17.77579262
2,17.94175110
4,18.06063988
2,18.25395203
4,18.28805528
6,18.33428084
4,18.42654910
6,18.45411401
8,18.49586904
6,18.61594249
4,18.65652106
6,18.73243937
10,19.11606897
8,19.11886231
6,19.22290215
4,19.26108416
2,19.30534490
8,19.49453389
6,19.54901178
4,19.61030789
2,19.64258207
6,19.68004895
4,19.76226108
2,19.80108656
4,19.86715704
4,19.96749907
2,19.97253823
6,20.24656525
8,20.27222690
2,20.74354606
6,21.12703350
8,21.14307545
4,21.35179985
2,21.42648951
6,21.36689104
4,21.42814610
4,21.49240239
6,21.49804987
4,21.62407061
2,21.67504277
6,22.26659804
4,22.30870487
6,22.51480394
4,22.59266360
2,22.68306543
4,22.70037757
2,22.80250972
8,22.77287965
6,22.78797918
4,22.81135843
2,22.83687165
2,22.82463962
10,22.94864813
8,23.01454553
6,23.07028998
4,23.10328517
2,23.08230349
4,23.11937815
6,23.17153570
8,23.16223816
6,23.25811374
6,23.40402760
4,23.43808881
2,23.48728630
8,23.48447042
6,23.51420440
4,23.57017722
2,23.64788005
2,23.54889313
4,23.63042494
2,23.58132422
4,23.61990887
6,23.62038678
4,23.68252235
2,23.67388033
4,23.70200895
4,23.80181442
2,23.84631466
6,23.87401512
4,23.89325004
10,24.15215486
8,24.15487223
6,24.15972864
8,24.16242396
4,24.17649235
6,24.18078735
12,24.19224889
10,24.19283498
2,24.21181411
4,24.21382629
6,24.28413150
4,24.28439443
4,24.31038415
6,24.31205385
10,24.31372322
8,24.31566967
8,24.33873405
6,24.34003126
8,24.37801682
6,24.37939735
8,24.62264169
10,24.62377605
6,24.64962209
4,24.69002861
2,24.81053047
2,24.72823017
4,24.73797775
6,24.75714540
4,24.79461100
8,24.78188506
6,24.79184062
4,24.81564826
2,24.84723130
4,24.80084273
2,24.87417696
8,24.81406490
6,24.82597075
10,24.84557871
8,24.90601840
6,24.96441882
4,25.01018340
2,24.92458926
4,24.96363470
6,25.01776196
8,24.99631807
6,25.06414249
6,25.06330121
4,25.07625732
2,25.09695279
8,25.09810880
4,25.10273001
6,25.11230570
4,25.16976011
2,25.24248286
6,25.18754647
8,25.19328798
4,25.21157095
6,25.23101760
4,25.25941458
2,25.26633095
4,25.28263150
4,25.30688090
6,25.30939846
4,25.34451490
6,25.36538960
2,25.35663454
4,25.44422467
2,25.40801331
10,25.40905473
8,25.41070124
6,25.41398919
8,25.41628630
4,25.42374234
6,25.42657193
12,25.42923159
10,25.42970831
2,25.43912897
4,25.44082574
12,25.44304392
10,25.44305904
8,25.44339237
10,25.44339266
2,25.44689500
6,25.44775895
8,25.44777276
12,25.45069417
14,25.45069590
4,25.45407080
6,25.45408951
4,25.55357413
6,25.55566971
10,25.55720904
8,25.55922152
8,25.57120023
6,25.57239413
6,25.58252217
8,25.58253774
12,25.58388229
10,25.58388835
10,25.59001247
8,25.59001388
8,25.61810033
6,25.61906799
8,25.64233840
10,25.64233884
6,25.67654286
4,25.69912067
2,25.82951773
8,25.75083567
6,25.75728027
4,25.79018407
10,25.78089157
8,25.80645208
6,25.87220304
4,25.94596914
4,25.81968425
2,25.88366492
2,25.84843727
4,25.87489852
6,25.93733151
2,25.86208761
4,25.86213691
12,25.88831364
10,25.88831410
6,25.90207610
6,25.90293551
4,25.90321077
8,25.91464514
6,25.95946554
8,25.94352386
6,25.94387988
8,25.95459873
10,25.95464012
6,25.96201300
4,25.96202300
4,25.96396722
6,26.05226965
4,25.98677781
10,26.09109330
8,26.09211674
6,26.09429820
8,26.09592400
4,26.10028930
6,26.10203610
12,26.10261300
10,26.10300570
4,26.10920100
12,26.11201792
10,26.11203395
10,26.11223490
8,26.11224084
6,26.11480622
8,26.11481420
10,26.11562721
12,26.11562754
12,26.11568580
14,26.11568686
14,26.11633493
12,26.11636970
8,26.11689532
10,26.11689637
14,26.11799316
16,26.11799488
4,26.11833790
6,26.11835425
6,26.11883422
8,26.11883580
4,26.23162100
6,26.23333896
10,26.23425812
8,26.23586749
8,26.24275100
6,26.24363240
6,26.25063624
8,26.25064940
12,26.25146700
10,26.25147586
8,26.25389755
10,26.25389891
12,26.25427186
14,26.25427383
10,26.25507599
8,26.25507612
12,26.25625228
10,26.25625371
8,26.29349829
6,26.29420710
8,26.29574504
10,26.30919076
8,26.30921053
12,26.31161594
10,26.31161729
10,26.31247080
8,26.32709980
4,26.40024800
6,26.40040716
8,26.44578799
10,26.50152100
8,26.50221100
12,26.50876600
10,26.50899800
12,26.51518180
10,26.51518830
10,26.51532170
8,26.51533680
8,26.51695640
6,26.51697170
12,26.51751090
10,26.51751682
12,26.51754670
14,26.51754810
14,26.51789090
12,26.51789120
12,26.51828010
14,26.51828040
8,26.51831170
10,26.51831330
14,26.51834010
16,26.51834082
10,26.51872797
12,26.51872896
14,26.51898850
16,26.51898850
4,26.51914100
6,26.51916670
16,26.51920453
18,26.51920626
8,26.51946370
10,26.51946550
6,26.51952980
8,26.51952980
8,26.55553718
10,26.55611128
6,26.61538040
8,26.63334800
8,26.63580586
6,26.64561340
10,26.64242400
8,26.64364900
10,26.64357200
6,26.65345430
8,26.65345980
12,26.65399170
10,26.65400150
8,26.65561910
10,26.65561910
12,26.65585890
14,26.65586010
8,26.65622800
10,26.65630360
10,26.65633161
12,26.65633296
14,26.65645372
16,26.65645569
12,26.65711080
10,26.65711090
14,26.65721730
12,26.65721872
2,26.66475730
8,26.71137330
10,26.71141560
10,26.71299200
12,26.71299330
12,26.71346441
14,26.71346440
10,26.76740500
12,26.77220200
10,26.77235900
12,26.77850500
14,26.77852400
14,26.77874320
12,26.77874940
14,26.77878090
16,26.77878230
10,26.77901140
12,26.77901300
14,26.77906410
16,26.77906450
16,26.77909930
18,26.77910000
16,26.77920850
18,26.77920890
12,26.77924350
14,26.77924450
8,26.77941270
10,26.77941270
18,26.77947550
20,26.77947720
10,26.77956060
12,26.77956230
2,26.88996000
14,26.91664290
16,26.91664410
10,26.91666730
12,26.91666730
12,26.91703120
14,26.91703260
16,26.91707820
18,26.91708020
12,26.91720770
14,26.91720770
16,26.91743740
14,26.91743880
12,26.97369180
14,26.97369290
16,26.97397850
14,26.97397990
10,27.14521116
12,27.14521300
6,27.15277500
4,27.15300600
6,27.17145080
8,27.17246000
14,27.17778150
12,27.17778200
8,27.18311940
6,27.18313750
8,27.19190872
10,27.19191042
10,27.19247975
12,27.19248340
14,27.84765030
12,27.84765070
