E(eV),QmH(Ang^2)
0.1,90
0.133352,79
0.177828,68
0.237137,58
0.316228,50.5
0.421697,43.5
0.562341,37.5
0.749894,31.8
1,26.8
1.333521,23.2
1.778279,18.9
2.371374,15.4
3.162278,12.8
4.216965,10.1
5.623413,8
7.498942,6.3
10,4.9
13.335214,3.8
17.782794,2.9
23.713738,2.18
31.622777,1.6
42.169651,1.15
56.234133,0.83
74.98942,0.56
100,0.38
133.352143,0.24
177.827941,0.14
237.137374,0.082
316.227766,0.051
421.696503,0.032
562.341325,0.0195
749.894209,0.0117
1000,0.0072
1333.521432,0.0045
1778.27941,0.0027
2371.373706,0.00165
3162.27766,0.001
4216.965034,0.00062
5623.413252,0.00038
7498.942093,0.000235
10000,0.000145
